"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"133","Alabama (Yellow Hammer)","College","Men","Tuscaloosa","AL","/teams/events/Eventteam/?TeamId=Fy7ndC0YiChGMO1BqxR7nhD2Wg3a3vBOqOPe0XaIAfs%3d",91,"Alabama",1311,"Division I","Southeast","Gulf Coast DI",20,14,7,0.450887602994406
"134","Bentley (Icehouse)","College","Men","Waltham","MA","/teams/events/Eventteam/?TeamId=BhaUDPg1D0x2dNfCztGGCyeK1YGcbThSg9z3O9kOry8%3d",104,"Bentley",1268,"Division III","New England","Metro Boston DIII",19,9,32,0.446703862664792
"135","Oklahoma State (Ultimato)","College","Men","Stillwater","OK","/teams/events/Eventteam/?TeamId=j7zIHsEoSStTdnbxUMoj2qBRB3682%2fdEFH7LUnVny2k%3d",126,"Oklahoma State",1166,"Division I","South Central","Ozarks DI",13,10,323,0.43966822580335
"136","Bates (Bates Orange Whip)","College","Men","Lewiston","ME","/teams/events/Eventteam/?TeamId=%2b4gm1%2bik3WlKxSF65M%2fr1MMCdydfPS9aFzpnmrJhasM%3d",147,"Bates",1087,"Division III","New England","North New England DIII",22,15,27,0.436370976298677
"137","Saint Louis (Archangel)","College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=yYSwXY2i9gEUMvYxONjJtA2kSQfNyXIuBtcSLipbums%3d",156,"Saint Louis",1049,"Division I","South Central","Ozarks DI",21,12,366,0.43513295342632
"138","Princeton (Clockwork)","College","Men","Princeton","NJ","/teams/events/Eventteam/?TeamId=rQkIWkXQej3%2fsDUA0r9gzfBHjx0UVq0UtZvFPsdPkj0%3d",111,"Princeton",1238,"Division I","Metro East","Metro NY DI",16,12,343,0.417159333982788
"139","Haverford (Big Donkey Ultimate)","College","Men","Haverford","PA","/teams/events/Eventteam/?TeamId=Dfqz%2beW75o8%2bNMB02W49X8daFAhJAQ5j1zr%2fII2Js%2fg%3d",174,"Haverford",978,"Division III","Ohio Valley","East Penn DIII",25,15,183,0.406491683677936
"140","Texas-Dallas (Woof)","College","Men","Richardson","TX","/teams/events/Eventteam/?TeamId=ZiwD8eKNnkXY5HoTiF%2bPyqsmjksh1CSMRrvkYIUdpRk%3d",131,"Texas-Dallas",1139,"Division I","South Central","North Texas DI",15,8,433,0.406190331674172
"141","Kentucky (KULT)","College","Men","Lexington","KY","/teams/events/Eventteam/?TeamId=ozv8TE5l7TS1Qr30NwlnQXOp8Ye37z%2fYXzgXofX8vJA%3d",138,"Kentucky",1121,"Division I","Great Lakes","East Plains DI",13,18,217,0.406183305692442
"142","Messiah (Falcons)","College","Men","Mechanicsburg","PA","/teams/events/Eventteam/?TeamId=fLROpVGomaod4oPBZWFrNpwyTjc4WjoKg3EGIc76VK4%3d",136,"Messiah",1132,"Division III","Ohio Valley","West Penn DIII",20,14,252,0.398158052620092
